"","lon","lat","species"
"2693",121.832201,24.58868,1
"2707",126.676922,37.393798,1
"2708",126.676922,37.393798,1
"2709",126.676922,37.393798,1
"2741",127.136856,36.47213,1
"2750",126.995584,37.619768,1
"2771",126.984447,37.589389,1
"2812",127.059711,37.508544,1
"2813",127.058951,37.508543,1
"2896",-83.377382,33.94791,1
"2979",126.999079,37.55024,1
"2980",126.999241,37.550485,1
"3006",139.75362,35.605852,1
"3019",126.376913,36.63893,1
"3103",139.719472,35.638921,1
"3163",126.94775,33.502246,1
"3175",126.284867,33.966935,1
"3183",139.700713,35.671158,1
"3208",139.716892,35.679744,1
"3218",126.28831,33.966062,1
"3261",126.885455,37.567447,1
"3278",126.983855,37.553804,1
"3294",139.754541,35.599929,1
"3296",129.121003,35.132211,1
"3297",118.831615,32.052184,1
"3299",121.556342,25.01554,1
"3300",126.965263,37.585499,1
"3327",139.751851,35.605361,1
"3338",121.487681,24.979551,1
"3345",128.062575,34.928333,1
"3363",121.559611,25.00991,1
"3412",133.017623,34.057618,1
"3416",126.906281,37.555685,1
"3442",-83.37552,33.942433,1
"3443",116.4064,39.930118,1
"3445",126.975868,37.522123,1
"3446",126.976306,37.521958,1
"3447",126.983828,37.521757,1
"3448",126.97779,37.521892,1
"3451",126.247289,37.177922,1
"3456",126.969896,37.528143,1
"3458",139.752758,35.595917,1
"3509",139.753359,35.605428,1
"3547",126.964953,37.52627,1
"3588",127.002331,37.533166,1
"3617",133.883117,34.459961,1
"3620",139.763062,35.595496,1
"3672",126.999286,37.547236,1
"3714",139.756327,35.687583,1
"3742",126.964531,37.574574,1
"3746",133.928269,34.507744,1
"3773",139.756038,35.691007,1
"3800",126.264971,33.19905,1
"3802",121.485404,24.979098,1
"3808",139.750848,35.603077,1
"3825",139.706884,35.68532,1
"3826",139.864332,35.642142,1
"3827",139.866091,35.641984,1
"3828",139.866091,35.641984,1
"3830",127.030721,37.544105,1
"3837",126.929473,37.556177,1
"3843",139.720523,35.637844,1
"3844",139.129525,34.951531,1
"3846",129.084472,35.0554,1
"3859",139.858472,35.670795,1
"3860",139.858212,35.670575,1
"3867",126.983453,37.584542,1
"3868",139.700938,35.674234,1
"3869",139.700895,35.674321,1
"3872",139.747008,35.691712,1
"3883",139.708237,35.686347,1
"3885",139.746481,35.733109,1
"3887",139.718628,35.638655,1
"3888",139.718018,35.639612,1
"3899",133.630355,34.338805,1
"3908",139.702226,35.679068,1
"3909",139.701217,35.676383,1
"3911",139.860941,35.642763,1
"3918",139.393386,34.787558,1
"3919",133.017692,32.725227,1
"3921",132.960525,32.772936,1
"3938",139.618637,35.160058,1
"3939",139.618353,35.159993,1
"3947",126.927025,37.52947,1
"3964",139.699911,35.679289,1
"3968",126.618709,33.245342,1
"3972",139.748635,35.688127,1
"3981",132.993788,34.305841,1
"3985",139.763493,35.659737,1
"3986",139.718567,35.675183,1
"3994",139.746676,35.734004,1
"4000",129.088303,35.056361,1
"4001",139.706476,35.685091,1
"4012",139.687709,35.667752,1
"4026",139.758971,35.687959,1
"4040",121.557161,25.016478,1
"4042",139.697695,35.673293,1
"4055",121.548981,25.087222,1
"4067",139.693987,35.285247,1
"4074",116.404083,39.880642,1
"4077",126.981377,37.520953,1
"4080",129.797086,33.414318,1
"4083",120.69339,36.36059,1
"4122",139.699001,35.674062,1
"4132",139.721375,35.636417,1
"4195",126.38587,34.784513,1
"4208",139.743781,35.720294,1
"4214",121.575044,24.979107,1
"4245",85.359311,27.793937,1
"4248",126.989993,37.578869,1
"4264",121.551774,25.017159,1
"4269",126.374418,34.795405,1
"4270",126.995,37.543,1
"4272",126.985906,37.545507,1
"4274",126.888844,37.572344,1
"4275",126.8886,37.568072,1
"4277",139.721314,35.636611,1
"4281",139.710052,35.685176,1
"4290",139.709785,35.68562,1
"4295",139.744236,35.681989,1
"4300",132.327362,34.289027,1
"4303",126.947502,37.563011,1
"4304",126.945969,37.563759,1
