"","lon","lat","species"
"81",-84.008855,33.982278,1
"82",-84.296869,33.762188,1
"83",-83.981774,34.06195,1
"84",-84.690122,33.995407,1
"85",-84.688068,33.992812,1
"86",140.58687,36.315442,1
"87",-83.631478,34.023308,1
"89",-82.353782,34.392625,1
"90",-84.026108,34.006385,1
"91",-83.437897,33.959198,1
"92",-83.874438,33.89098,1
"93",-84.490936,33.882381,1
"94",-84.276353,33.763247,1
"95",-84.447067,34.071991,1
"96",140.502501,36.400887,1
"97",139.448506,35.475626,1
"98",-83.148155,34.20047,1
"99",-83.346062,33.911633,1
"100",-83.454041,33.879181,1
"101",-84.283471,33.813722,1
"102",-83.735671,33.775967,1
"103",126.543239,36.717322,1
"104",-84.230007,34.862943,1
"108",138.408613,34.979028,1
"109",-84.215172,34.136822,1
"110",-83.375132,33.776482,1
"111",121.051779,41.165709,1
"112",-84.057686,33.896208,1
"113",-82.26299,35.183674,1
"114",-83.937439,34.052155,1
"115",-84.750008,34.1778,1
"116",128.488655,35.795204,1
"117",-84.580428,34.116264,1
"118",-84.283375,33.813686,1
"119",-84.697059,34.453657,1
"120",-84.381888,34.003444,1
"121",-84.36488,33.730551,1
"122",-84.325488,33.789213,1
"123",-83.311722,33.929962,1
"124",-84.31932,33.772092,1
"125",-84.046735,34.051717,1
"126",139.392212,35.502072,1
"127",-84.464197,33.814066,1
"128",127.634562,37.805669,1
"130",-83.767974,34.691825,1
"131",-84.126393,33.970005,1
"132",79.559028,29.79028,1
"133",-83.362525,33.905595,1
"134",-84.259895,33.864712,1
"135",-85.183612,34.901925,1
"136",-84.38488,33.936737,1
"137",79.558994,29.790642,1
"138",-84.365013,33.899778,1
"139",130.710648,33.324982,1
"140",118.824945,32.055553,1
"141",120.095932,30.226956,1
"142",-82.822425,34.673808,1
"143",-84.48568,33.873779,1
"144",-83.750476,34.048493,1
"145",-83.853912,34.302325,1
"146",-84.125429,33.971201,1
"147",-84.444718,33.895181,1
"148",121.328942,25.012643,1
"149",-83.404824,33.891683,1
"150",-83.853753,34.302445,1
"151",-84.37825,33.864328,1
"152",127.130165,36.832544,1
"153",-84.138308,34.254048,1
"154",-84.137089,34.251571,1
"155",-82.362208,34.664839,1
"156",-83.286552,34.511993,1
"157",-84.517503,33.795975,1
"158",-83.973717,34.104434,1
"159",127.024552,36.649979,1
"160",-84.310937,34.031742,1
"161",127.196043,36.834672,1
"162",139.459394,35.639551,1
"163",-84.372059,33.73168,1
"164",-84.378158,34.004067,1
"165",-76.752235,39.202767,1
"166",-83.43739,34.531488,1
"167",-83.818145,34.334756,1
"168",-83.818657,34.336236,1
"169",-84.445457,33.990311,1
"170",-84.443787,34.522369,1
"171",139.530256,35.336127,1
"172",-84.088028,33.83362,1
"173",-84.311848,33.798126,1
"174",-76.752274,39.202675,1
"175",-84.569192,33.974388,1
"177",139.650411,35.151708,1
"178",-83.855183,33.906708,1
"179",-83.854808,33.904521,1
"180",-84.585953,34.125537,1
"181",126.445264,36.791902,1
"182",126.445275,36.791904,1
"183",126.445259,36.79196,1
"184",-84.052308,34.055978,1
"185",-83.446304,33.946411,1
"186",137.955276,36.257828,1
"187",133.7719,34.595592,1
"188",127.035813,36.810676,1
"189",-83.382829,33.98683,1
"190",-83.166765,33.753558,1
"191",-83.277634,34.775909,1
"192",126.352105,33.257164,1
"193",107.885952,25.411189,1
"195",-84.518587,34.654853,1
"196",-84.41604,34.116399,1
"197",-84.327125,33.773163,1
"198",138.764467,35.527005,1
"199",138.764587,35.527313,1
"201",116.201804,40.011241,1
"202",120.092036,30.236223,1
"203",120.092036,30.236223,1
"204",138.770417,35.521405,1
"206",-84.228131,33.864522,1
"207",-84.028245,34.086748,1
"208",139.094123,34.985414,1
"209",-84.324295,33.771955,1
"210",-84.324238,33.771944,1
"211",127.1635,37.757176,1
"212",-84.323697,33.772076,1
"213",-84.323621,33.772134,1
"214",-84.358937,33.767398,1
"215",-84.411133,34.065735,1
"216",-84.370828,34.548583,1
"217",-84.519163,34.65473,1
"218",-83.383092,33.988133,1
"219",127.163906,37.755904,1
"220",127.164276,37.755615,1
"221",140.021286,35.71534,1
"222",135.394668,34.791403,1
"224",118.582305,30.672196,1
"225",139.462274,35.638194,1
"226",139.461467,35.635057,1
"227",-84.245438,34.565542,1
"228",-84.24572,34.565147,1
"229",120.788369,23.729589,1
"230",-84.36357,33.964064,1
"231",127.828745,36.535778,1
"232",127.822172,36.534189,1
"233",-84.570542,34.083888,1
"234",-84.124571,33.513846,1
"235",-84.114097,34.331228,1
"236",-84.445381,33.990253,1
"237",127.045058,35.719033,1
"238",127.045818,35.719505,1
"239",127.046395,35.719752,1
"240",127.046541,35.719739,1
"241",127.146454,35.642002,1
"242",127.146036,35.642301,1
"243",127.146682,35.641543,1
"244",-84.690717,33.993379,1
"245",-83.383456,33.988734,1
"246",-84.023248,34.059227,1
"247",135.384609,33.958588,1
"248",117.816013,29.230094,1
"249",-83.845855,33.583278,1
"250",-84.314367,33.800968,1
"251",-84.553933,34.144774,1
